2000-2001 baseball season	season
most win	win
game	162 regular season game
seattle mariner	2000-2001 baseball season
seattle mariner	most win
seattle mariner	game
league record	2000-2001 baseball season
league record	most win
league record	game
1906 chicago cub	162 regular season game
mainer	2000-2001 baseball season
mainer	most win
mainer	game
24 more	162 regular season game
loss	2000-2001 baseball season
loss	most win
loss	game
mariner have	2000-2001 baseball season
mariner have	most win
mariner have	game
