prob_num,env_num,obj_num,is_it_superSet,name,cardinality,cardinality unit,attribute_name_list,attribute_value,total attribute_name,total attribute,
0,0,0,y,people,24,-,-,-,-,-,
0,0,1,n,novelist,x1,-,-,-,-,-,
0,0,2,n,poet,5/3 * x1,-,-,-,-,-,
1,0,0,y,test,40,question,-,-,point,100,
1,0,1,n,-,x1,question,point,2,-,-,
1,0,2,n,-,x2,question,point,4,-,-,
2,0,0,y,,40,pound,dollar,4.6,-,-,
2,0,1,n,colombian coffee bean,x1,pound,dollar,5.5,-,-,
2,0,2,n,peruvian coffee bean,x2,pound,dollar,4.25,-,-,
3,0,0,y,-,-,-,-,-,-,-,
3,0,1,n,-,1,-,dollar,160,-,-,
3,0,2,n,-,x1,week,dollar,7,-,-,
3,1,0,y,-,-,-,-,-,-,-,
3,1,1,n,-,1,-,dollar,210,-,-,
3,1,2,n,-,x2,week,dollar,5,-,-,
4,0,0,y,gross pay,-,-,dollar,450,-,-,
4,0,1,n,net pay,-,-,dollar,315,-,-,
4,0,2,n,tax,-,-,dollar,x1,-,-,
5,0,0,y,-,-,-,-,-,mile,3,
5,0,1,n,mary,4,mile,hour,x1,-,-,
5,0,2,n,sharon,6,mile,hour,x1,-,-,
6,0,0,y,daily budget,-,-,-,-,dollar,88,
6,0,1,n,-,1,day,dollar,50,-,-,
6,0,2,n,-,x1,mile,cent,20,-,-,
7,0,0,y,,100,carton,-,-,dollar,360,
7,0,1,n,pencil,x1,carton,dollar,6,-,-,
7,0,2,n,eraser,x2,carton,dollar,3,-,-,
8,0,0,y,,"1,500",ticket,-,-,dollar,"16,200",
8,0,1,n,adult,x1,-,dollar,12,-,-,
8,0,2,n,student,x2,-,dollar,6,-,-,
9,0,0,y,-,150,liter,% base,62,-,-,
9,0,1,n,-,x1,-,% base,80,-,-,
9,0,2,n,-,x2,-,% base,30,-,-,
10,0,0,n,width,1,-,meter,24,-,-,
10,0,1,n,length,1,-,meter,x1,-,-,
11,0,0,y,-,1,-,-,-,dollar,95.74,
11,0,1,n,rental fee,1,-,dollar,20.99,-,-,
11,0,2,n,-,x1,mile,cent,25,-,-,
12,0,0,y,-,100,liter,% acid,18,-,-,
12,0,1,n,-,x1,liter,% acid,15,-,-,
12,0,2,n,-,x2,liter,% acid,25,-,-,
13,0,0,y,hot dog and soda,87,-,-,-,dollar,78.5,
13,0,1,n,hot dog,x1,-,dollar,1.5,-,-,
13,0,2,n,soda,x2,-,dollar,0.5,-,-,
14,0,0,y,coin,30,-,-,-,dollar,1.9,
14,0,1,n,nickel,x1,-,-,-,-,-,
14,0,2,n,dime,x2,-,-,-,-,-,
15,0,0,y,violin,7,violin,-,-,dollar,1600,
15,0,1,n,200-dollar violin,x1,violin,dollar,200,-,-,
15,0,2,n,300-dollar violin,x2,violin,dollar,300,-,-,
16,0,0,y,dinner,250,-,-,-,dollar,1347.5,
16,0,1,n,adult plate,x1,-,dollar,7,-,-,
16,0,2,n,child plate,x2,-,dollar,3.5,-,-,
18,0,0,y,people,23,ticket,-,-,dollar,246,
18,0,1,n,adult,x1,adult ticket,dollar,11,-,-,
18,0,2,n,child,x2,child ticket,dollar,10,-,-,
19,0,0,y,-,1800,milliliter,% sugar solution,60,-,-,
19,0,1,n,-,x1,milliliter,% sugar solution,40,-,-,
19,0,2,n,-,x2,milliliter,% sugar solution,85,-,-,
20,0,0,y,girl and boy,41,-,-,-,-,-,
20,0,1,n,girl,x1,-,-,-,-,-,
20,0,2,n,boy,x2,-,-,-,-,-,
21,0,0,y,democrat and republican,99,-,-,-,-,-,
21,0,1,n,democrat,x1,-,-,-,-,-,
21,0,2,n,republican,x2,-,-,-,-,-,
22,0,0,y,-,120,-,-,-,-,-,
22,0,1,n,adult,x1,-,-,-,-,-,
22,0,2,n,child,2*x1,-,-,-,-,-,
23,0,0,y,coin,180,coin,-,-,dollar,260,
23,0,1,n,1-dollar coin,x1,-,dollar,1,-,-,
23,0,2,n,2-dollar coin,x2,-,dollar,2,-,-,
24,0,0,y,coin,40,coin,-,-,dollar,125,
24,0,1,n,5-dollar coin,x1,-,dollar,5,-,-,
24,0,2,n,2-dollar coin,x2,-,dollar,2,-,-,
27,0,0,y,fund,"10,000",dollar,-,-,dollar,740,
27,0,1,n,junk bond fund,x1,-,% interest,11,-,-,
27,0,2,n,government bond fund,x2,-,% interest,5,-,-,
28,0,0,y,room,260,room,-,-,dollar,14000,
28,0,1,n,single room,x1,-,dollar,35,-,-,
28,0,2,n,double room,x2,-,dollar,60,-,-,
29,0,0,y,dougla fir and ponderosa pine tree,850,-,-,-,dollar,"217,500",
