new book	book
production cost	cost
production cost	one-time fix cost
production cost	variable cost
cost	one-time fix cost
cost	variable cost
one-time fix cost	variable cost
35,630 dollar	1150 dollar
35,630 dollar	dollar
35,630 dollar	2025 dollar
1150 dollar	dollar
1150 dollar	2025 dollar
dollar	2025 dollar
small publishing company	new book
small publishing company	production cost
small publishing company	dollar
one-time	new book
one-time	production cost
one-time	dollar
variable	new book
variable	production cost
variable	dollar
publisher	new book
publisher	production cost
publisher	dollar
finish product	new book
finish product	production cost
finish product	dollar
bookstore	new book
bookstore	production cost
bookstore	dollar
money	new book
money	production cost
money	dollar
sale	new book
sale	production cost
sale	dollar
