amusement park	park
ticket	adult ticket
150 dollar	dollar
150 dollar	4 dollar
150 dollar	792 dollar
dollar	4 dollar
dollar	792 dollar
4 dollar	792 dollar
certain day	day
certain day	same day
day	same day
2 kind	4 dollar
child	amusement park
child	ticket
child	dollar
child	certain day
278 people	4 dollar
admission fee	amusement park
admission fee	ticket
admission fee	dollar
admission fee	certain day
adult	amusement park
adult	ticket
adult	dollar
adult	certain day
admit	amusement park
admit	ticket
admit	dollar
admit	certain day
