stefan school	school
ticket	4 senior citizen ticket
ticket	3 student ticket
ticket	12 senior citizen ticket
ticket	10 student ticket
ticket	senior citizen ticket
ticket	student ticket
4 senior citizen ticket	3 student ticket
4 senior citizen ticket	12 senior citizen ticket
4 senior citizen ticket	10 student ticket
4 senior citizen ticket	senior citizen ticket
4 senior citizen ticket	student ticket
3 student ticket	12 senior citizen ticket
3 student ticket	10 student ticket
3 student ticket	senior citizen ticket
3 student ticket	student ticket
12 senior citizen ticket	10 student ticket
12 senior citizen ticket	senior citizen ticket
12 senior citizen ticket	student ticket
10 student ticket	senior citizen ticket
10 student ticket	student ticket
senior citizen ticket	student ticket
first day	day
first day	second day
day	second day
79 dollar	246 dollar
choral performance	stefan school
choral performance	ticket
choral performance	first day
ticket sale	stefan school
ticket sale	ticket
ticket sale	first day
price	stefan school
price	ticket
price	first day
3 student ticket	79 dollar
