3,000 dollar	256 dollar
10 percent interest	interest
10 percent interest	8 percent interest
10 percent interest	yearly interest
interest	8 percent interest
interest	yearly interest
8 percent interest	yearly interest
10 percent	percent
10 percent	8 percent
percent	8 percent
pat	interest
pat	percent
part	interest
part	percent
money	interest
money	percent
year	interest
year	percent
rest	interest
rest	percent
investment	interest
investment	percent
256 dollar	8 percent interest
256 dollar	8 percent
8 percent interest	8 percent
