: antonymy
destruction construction smart stupid
tiny huge weird normal
spend save unnecessary necessary
encourage discourage destruction construction
arrive leave accept reject
absence presence send receive
accept reject floor ceiling
wide narrow accept reject
encourage discourage breathe choke
wide narrow destruction construction
short long tiny huge
create destroy profit loss
unnecessary necessary life death
lose keep old new
easy difficult unnecessary necessary
unnecessary necessary encourage discourage
wide narrow arrive leave
life death absence presence
weird normal bottom top
floor ceiling accept reject
lose keep unnecessary necessary
reality fantasy breathe choke
old new lose keep
arrive leave shrink grow
absence presence lose keep
reality fantasy create destroy
floor ceiling create destroy
send receive life death
weird normal unnecessary necessary
lose keep reality fantasy
send receive wide narrow
spend save accept reject
destruction construction send receive
weird normal destruction construction
lose keep encourage discourage
destruction construction life death
short long destruction construction
breathe choke arrive leave
profit loss succeed fail
unnecessary necessary absence presence
arrive leave destruction construction
spend save encourage discourage
absence presence life death
life death shrink grow
unnecessary necessary accept reject
spend save tiny huge
wide narrow send receive
succeed fail unnecessary necessary
arrive leave absence presence
old new sinner saint
destruction construction breathe choke
accept reject tiny huge
floor ceiling wide narrow
smart stupid destruction construction
breathe choke reality fantasy
tiny huge absence presence
send receive tiny huge
tiny huge breathe choke
profit loss shrink grow
reality fantasy profit loss
destruction construction encourage discourage
lose keep sinner saint
tiny huge arrive leave
old new short long
create destroy bottom top
shrink grow accept reject
bottom top easy difficult
breathe choke create destroy
reality fantasy weird normal
create destroy encourage discourage
bottom top shrink grow
smart stupid encourage discourage
reality fantasy unnecessary necessary
succeed fail encourage discourage
weird normal send receive
smart stupid create destroy
weird normal spend save
succeed fail wide narrow
shrink grow bottom top
short long floor ceiling
life death smart stupid
succeed fail life death
destruction construction wide narrow
profit loss short long
create destroy absence presence
unnecessary necessary spend save
spend save smart stupid
arrive leave breathe choke
lose keep weird normal
floor ceiling encourage discourage
floor ceiling profit loss
reality fantasy succeed fail
wide narrow spend save
lose keep create destroy
sinner saint bottom top
succeed fail send receive
profit loss accept reject
accept reject profit loss
reality fantasy encourage discourage
floor ceiling send receive
profit loss arrive leave
unnecessary necessary wide narrow
absence presence succeed fail
life death floor ceiling
sinner saint lose keep
life death sinner saint
short long wide narrow
life death breathe choke
bottom top absence presence
shrink grow short long
sinner saint short long
wide narrow bottom top
smart stupid send receive
wide narrow encourage discourage
short long succeed fail
shrink grow smart stupid
tiny huge wide narrow
sinner saint reality fantasy
easy difficult destruction construction
lose keep arrive leave
tiny huge spend save
breathe choke smart stupid
absence presence unnecessary necessary
breathe choke absence presence
destruction construction profit loss
sinner saint shrink grow
accept reject succeed fail
reality fantasy arrive leave
life death destruction construction
destruction construction lose keep
accept reject arrive leave
unnecessary necessary reality fantasy
spend save floor ceiling
destruction construction spend save
life death accept reject
shrink grow encourage discourage
breathe choke destruction construction
easy difficult accept reject
reality fantasy floor ceiling
smart stupid easy difficult
wide narrow old new
absence presence floor ceiling
spend save create destroy
lose keep tiny huge
old new destruction construction
unnecessary necessary easy difficult
absence presence shrink grow
destruction construction easy difficult
easy difficult shrink grow
bottom top spend save
smart stupid reality fantasy
life death unnecessary necessary
floor ceiling absence presence
shrink grow create destroy
floor ceiling breathe choke
wide narrow succeed fail
short long smart stupid
encourage discourage smart stupid
easy difficult spend save
life death spend save
spend save bottom top
accept reject create destroy
sinner saint succeed fail
encourage discourage profit loss
spend save absence presence
smart stupid spend save
create destroy wide narrow
accept reject breathe choke
send receive unnecessary necessary
smart stupid life death
absence presence accept reject
life death wide narrow
accept reject bottom top
old new profit loss
tiny huge encourage discourage
destruction construction reality fantasy
easy difficult wide narrow
reality fantasy send receive
arrive leave lose keep
lose keep wide narrow
absence presence smart stupid
arrive leave spend save
encourage discourage sinner saint
wide narrow floor ceiling
sinner saint floor ceiling
absence presence short long
life death old new
encourage discourage shrink grow
short long spend save
lose keep accept reject
smart stupid profit loss
unnecessary necessary succeed fail
easy difficult short long
bottom top smart stupid
old new unnecessary necessary
floor ceiling shrink grow
tiny huge life death
reality fantasy bottom top
encourage discourage life death
unnecessary necessary tiny huge
